"Interval start","Alle Pakete"
4,698912
5,0
6,0
7,0
8,0
9,767604
10,0
11,0
12,0
13,0
14,919175
15,0
16,0
17,0
18,0
19,951873
20,0
21,0
22,0
23,0
24,998743
25,0
26,0
27,0
28,0
29,804969
30,0
31,0
32,0
33,0
34,2.56866e+06
35,0
36,0
37,0
38,0
39,1.13313e+06
40,0
41,0
42,0
43,0
44,1.1549e+06
45,0
46,0
47,0
48,0
49,1.24496e+06
50,0
51,0
52,0
53,0
54,1.87417e+06
55,0
56,0
57,0
58,0
59,1.51512e+06
60,0
61,0
62,0
63,0
64,1.59625e+06
65,0
66,0
67,0
68,0
69,1.36658e+06
70,0
71,0
72,0
73,0
74,800858
75,0
76,0
77,0
78,0
79,1.37792e+06
80,0
81,0
82,0
83,0
84,1.6699e+06
85,0
86,0
87,0
88,0
89,1.58632e+06
90,0
91,0
92,0
93,0
94,1.87628e+06
95,0
96,0
97,0
98,0
99,1.88196e+06
100,0
101,0
102,0
103,0
104,1.98039e+06
105,0
106,0
107,0
108,0
109,1.7375e+06
110,0
111,0
112,0
113,0
114,1.24964e+06
115,0
116,0
117,0
118,0
119,1.40724e+06
120,0
121,0
122,0
123,0
124,1.32945e+06
125,0
126,0
127,0
128,0
129,1.47822e+06
130,0
131,0
132,0
133,0
134,1.56187e+06
135,0
136,0
137,0
138,0
139,1.56628e+06
140,0
141,0
142,0
143,0
144,1.64689e+06
145,0
146,0
147,0
148,0
149,1.48242e+06
150,0
151,0
152,0
153,0
154,1.25093e+06
155,0
156,0
157,0
158,0
159,1.28171e+06
160,0
161,0
162,0
163,0
164,1.34512e+06
165,0
166,0
167,0
168,0
169,1.47496e+06
170,0
171,0
172,0
173,0
174,1.24851e+06
175,0
176,0
177,0
178,0
179,1.23003e+06
180,0
181,0
182,0
183,0
184,1.37952e+06
185,0
186,0
187,0
188,0
189,1.32676e+06
190,0
191,0
192,0
193,0
194,1.2407e+06
195,157
196,0
197,0
198,0
199,1.27251e+06
200,0
201,157
202,157
203,0
204,1.2828e+06
205,0
206,0
207,0
208,157
209,1.3566e+06
210,0
211,243
212,0
213,0
214,0
215,0
216,157
