"Interval start","Alle Pakete"
9,2.21841e+06
10,0
11,0
12,0
13,0
14,1.99576e+06
15,0
16,0
17,0
18,0
19,2.18554e+06
20,0
21,0
22,0
23,0
24,1.99153e+06
25,0
26,0
27,0
28,0
29,1.57406e+06
30,0
31,0
32,0
33,0
34,1.13996e+06
35,0
36,0
37,0
38,0
39,2.46496e+06
40,0
41,0
42,0
43,0
44,2.11426e+06
45,0
46,0
47,0
48,0
49,1.9602e+06
50,0
51,0
52,0
53,0
54,2.05497e+06
55,0
56,0
57,0
58,0
59,1.57669e+06
60,0
61,0
62,0
63,0
64,1.88338e+06
65,0
66,0
67,0
68,0
69,2.37091e+06
70,0
71,0
72,0
73,0
74,2.05314e+06
75,0
76,0
77,0
78,0
79,2.07065e+06
80,0
81,0
82,0
83,0
84,1.96065e+06
85,0
86,0
87,0
88,0
89,1.62171e+06
90,0
91,0
92,0
93,0
94,956476
95,0
96,0
97,0
98,0
99,1.65962e+06
100,0
101,0
102,0
103,0
104,2.00845e+06
105,0
106,0
107,0
108,0
109,1.90953e+06
110,0
111,0
112,0
113,0
114,1.95656e+06
115,0
116,0
117,0
118,0
119,2.05122e+06
120,0
121,0
122,0
123,0
124,1.96505e+06
125,0
126,0
127,0
128,0
129,1.88821e+06
130,0
131,0
132,0
133,0
134,2.03595e+06
135,0
136,0
137,0
138,0
139,1.82436e+06
140,0
141,0
142,0
143,0
144,1.80076e+06
145,0
146,0
147,0
148,0
149,1.93648e+06
150,0
151,0
152,0
153,0
154,1.7389e+06
155,0
156,0
157,0
158,0
159,2.16452e+06
160,0
161,0
162,0
163,0
164,2.42043e+06
165,0
166,0
167,0
168,0
169,2.55221e+06
170,0
171,0
172,0
173,0
174,2.1553e+06
175,0
176,0
177,0
178,0
179,2.34952e+06
180,0
181,0
182,0
183,0
184,1.76897e+06
185,0
186,0
187,0
188,0
189,2.01866e+06
190,0
191,0
192,0
193,0
194,2.39176e+06
195,0
196,0
197,0
198,0
199,2.34857e+06
200,0
201,0
202,0
203,0
204,1.85764e+06
205,0
206,0
207,0
208,0
209,2.00408e+06
